pre_test_note_1,,,,,
=====
Time,Accel X,Accel Y,Accel Z,Orientation
1.3943159999999999,-15504.0,1588.0,1244.0,X-axis up
1.3986400000000003,-15488.0,1504.0,1256.0,X-axis up
1.4029560000000005,-15548.0,1548.0,1024.0,X-axis up
1.4072880000000003,-15628.0,1516.0,1272.0,X-axis up
1.4116280000000003,-15484.0,1444.0,1268.0,X-axis up
1.4159560000000004,-15568.0,1452.0,1072.0,X-axis up
1.4202760000000003,-15528.0,1504.0,1192.0,X-axis up
1.4246119999999998,-15576.0,1452.0,1232.0,X-axis up
1.4289440000000004,-15564.0,1468.0,1280.0,X-axis up
1.4332799999999999,-15480.0,1496.0,1208.0,X-axis up
1.437608,-15580.0,1492.0,1184.0,X-axis up
1.4419440000000003,-15580.0,1424.0,1172.0,X-axis up
1.4462840000000003,-15404.0,1420.0,1220.0,X-axis up
1.4506120000000005,-15700.0,1380.0,1156.0,X-axis up
1.4549440000000002,-15540.0,1472.0,1208.0,X-axis up
1.4592679999999998,-15472.0,1604.0,1236.0,X-axis up
1.463596,-15520.0,1380.0,1212.0,X-axis up
1.4679320000000002,-15504.0,1460.0,1272.0,X-axis up
1.4722559999999998,-15512.0,1460.0,1196.0,X-axis up
1.4765800000000002,-15504.0,1476.0,1172.0,X-axis up
1.480912,-15568.0,1516.0,1096.0,X-axis up
1.485252,-15488.0,1440.0,1236.0,X-axis up
1.4895959999999997,-15560.0,1484.0,1192.0,X-axis up
1.4939239999999998,-15524.0,1524.0,1264.0,X-axis up
1.4982560000000005,-15516.0,1452.0,1344.0,X-axis up
1.5025960000000005,-15472.0,1460.0,1124.0,X-axis up
1.5069239999999997,-15620.0,1440.0,1144.0,X-axis up
1.5112560000000004,-15516.0,1592.0,1280.0,X-axis up
1.5155760000000003,-15476.0,1516.0,1188.0,X-axis up
1.5199119999999997,-15508.0,1524.0,1208.0,X-axis up
1.5242399999999998,-15512.0,1480.0,980.0,X-axis up
1.528524,-15488.0,1392.0,1244.0,X-axis up
1.5328480000000004,-15688.0,1404.0,1180.0,X-axis up
1.5371839999999999,-15416.0,1484.0,1100.0,X-axis up
1.5415200000000002,-15488.0,1500.0,1128.0,X-axis up
1.5458480000000003,-15660.0,1520.0,1248.0,X-axis up
1.5501800000000001,-15560.0,1408.0,1192.0,X-axis up
1.5545,-15472.0,1448.0,1352.0,X-axis up
1.5588360000000003,-15460.0,1472.0,1164.0,X-axis up
1.5631719999999998,-15472.0,1420.0,1216.0,X-axis up
1.5674960000000002,-15524.0,1504.0,1140.0,X-axis up
1.5718240000000003,-15476.0,1408.0,1188.0,X-axis up
1.5761560000000001,-15568.0,1436.0,1228.0,X-axis up
1.5804920000000005,-15472.0,1512.0,1336.0,X-axis up
1.584828,-15572.0,1464.0,1144.0,X-axis up
1.589156,-15616.0,1592.0,1160.0,X-axis up
1.5934879999999998,-15508.0,1492.0,1196.0,X-axis up
1.5978279999999998,-15584.0,1476.0,1276.0,X-axis up
1.602156,-15508.0,1500.0,1160.0,X-axis up
1.606484,-15560.0,1520.0,1112.0,X-axis up
1.6108080000000005,-15568.0,1592.0,1096.0,X-axis up
1.615144,-15568.0,1484.0,1204.0,X-axis up
1.619472,-15540.0,1508.0,1252.0,X-axis up
1.6238000000000001,-15648.0,1336.0,1120.0,X-axis up
1.6281239999999997,-15576.0,1448.0,1140.0,X-axis up
1.63246,-15380.0,1472.0,1152.0,X-axis up
1.6367919999999998,-15560.0,1512.0,1256.0,X-axis up
1.6411280000000001,-15516.0,1468.0,1132.0,X-axis up
1.64546,-15476.0,1480.0,1172.0,X-axis up
1.6497799999999998,-15540.0,1492.0,1228.0,X-axis up
1.6541199999999998,-15544.0,1456.0,1276.0,X-axis up
1.6584599999999998,-15540.0,1468.0,1272.0,X-axis up
1.662788,-15468.0,1508.0,1236.0,X-axis up
1.667116,-15472.0,1384.0,1312.0,X-axis up
1.6714440000000002,-15516.0,1520.0,1252.0,X-axis up
1.6757720000000003,-15524.0,1472.0,1268.0,X-axis up
1.680104,-15548.0,1432.0,1140.0,X-axis up
1.6844280000000005,-15596.0,1400.0,1264.0,X-axis up
1.6887600000000003,-15580.0,1456.0,1184.0,X-axis up
1.6930959999999997,-15604.0,1440.0,1180.0,X-axis up
1.697432,-15516.0,1424.0,1144.0,X-axis up
1.7017560000000005,-15620.0,1400.0,1208.0,X-axis up
1.7060760000000004,-15552.0,1464.0,1220.0,X-axis up
1.7104239999999997,-15604.0,1500.0,1196.0,X-axis up
1.7147680000000003,-15508.0,1468.0,1152.0,X-axis up
1.7190960000000004,-15552.0,1432.0,1124.0,X-axis up
1.72342,-15556.0,1472.0,1232.0,X-axis up
1.7277519999999997,-15524.0,1496.0,1156.0,X-axis up
1.732088,-15552.0,1404.0,1188.0,X-axis up
1.7364160000000002,-15488.0,1532.0,1160.0,X-axis up
1.7407399999999997,-15572.0,1440.0,1196.0,X-axis up
1.745076,-15484.0,1348.0,1088.0,X-axis up
1.7494079999999999,-15576.0,1448.0,1252.0,X-axis up
1.7537440000000002,-15460.0,1452.0,1284.0,X-axis up
1.758076,-15516.0,1444.0,1244.0,X-axis up
1.7623959999999999,-15496.0,1488.0,1200.0,X-axis up
1.7667359999999999,-15416.0,1312.0,1368.0,X-axis up
1.7710759999999999,-15480.0,1528.0,1288.0,X-axis up
1.7754079999999997,-15560.0,1448.0,1220.0,X-axis up
1.779732,-15504.0,1456.0,1144.0,X-axis up
1.7840639999999999,-15492.0,1464.0,1212.0,X-axis up
1.7884000000000002,-15516.0,1508.0,1172.0,X-axis up
1.7927239999999998,-15516.0,1480.0,1160.0,X-axis up
1.7970519999999999,-15540.0,1404.0,1124.0,X-axis up
1.8013839999999997,-15428.0,1372.0,1180.0,X-axis up
1.8057119999999998,-15640.0,1380.0,1180.0,X-axis up
1.8100440000000004,-15560.0,1480.0,1196.0,X-axis up
1.8143719999999997,-15540.0,1432.0,1128.0,X-axis up
1.818696,-15512.0,1444.0,1128.0,X-axis up
1.8230279999999999,-15528.0,1512.0,1272.0,X-axis up
1.8273640000000002,-15588.0,1452.0,1236.0,X-axis up
1.8316920000000003,-15592.0,1376.0,1108.0,X-axis up
1.8360159999999999,-15552.0,1428.0,1224.0,X-axis up
1.8403520000000002,-15560.0,1460.0,1180.0,X-axis up
1.8446800000000003,-15532.0,1376.0,1172.0,X-axis up
1.8490200000000003,-15504.0,1396.0,1304.0,X-axis up
1.853352,-15532.0,1408.0,1280.0,X-axis up
1.8576800000000002,-15528.0,1520.0,1200.0,X-axis up
1.8620200000000002,-15532.0,1412.0,1156.0,X-axis up
1.8663439999999998,-15528.0,1528.0,1180.0,X-axis up
1.870672,-15516.0,1488.0,1212.0,X-axis up
1.875,-15532.0,1432.0,1168.0,X-axis up
1.8793360000000003,-15592.0,1456.0,1320.0,X-axis up
1.8836680000000001,-15628.0,1516.0,1276.0,X-axis up
1.888,-15620.0,1496.0,1204.0,X-axis up
1.8923240000000003,-15584.0,1440.0,976.0,X-axis up
1.8966000000000003,-15520.0,1516.0,1092.0,X-axis up
1.9009400000000003,-15612.0,1372.0,1136.0,X-axis up
1.9052680000000004,-15612.0,1436.0,1248.0,X-axis up
1.9095960000000005,-15500.0,1488.0,1080.0,X-axis up
1.91392,-15568.0,1448.0,1264.0,X-axis up
1.9182519999999998,-15556.0,1464.0,1216.0,X-axis up
1.9225839999999996,-15528.0,1496.0,1216.0,X-axis up
1.9269119999999997,-15620.0,1464.0,1212.0,X-axis up
1.9312360000000002,-15508.0,1532.0,1232.0,X-axis up
1.935568,-15452.0,1476.0,1300.0,X-axis up
1.939908,-15500.0,1488.0,1216.0,X-axis up
1.9442519999999996,-15628.0,1384.0,1340.0,X-axis up
1.9485799999999998,-15536.0,1612.0,1252.0,X-axis up
1.9529120000000004,-15416.0,1420.0,1216.0,X-axis up
1.9572520000000004,-15576.0,1480.0,1156.0,X-axis up
1.9615799999999997,-15600.0,1512.0,1224.0,X-axis up
1.9659079999999998,-15576.0,1292.0,1324.0,X-axis up
